@RELATION special_immunology

@ATTRIBUTE "LMB_CODE" STRING 
@ATTRIBUTE "TEST_CODE" STRING 
@ATTRIBUTE "SPECIMEN_CODE" STRING 
@ATTRIBUTE "HOSPITAL_CODE" STRING 
@ATTRIBUTE "TV_FLAG"  {Y,N}
@ATTRIBUTE "ALBUMIN"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA 1"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA 2"  {DE,NM,SI,IN}
@ATTRIBUTE "BETA"  {DE,NM,SI,IN}
@ATTRIBUTE "GAMMA"  {DE,NM,SI,IN}
@ATTRIBUTE "Total Protein"  {DE,NM,SI,IN}
@ATTRIBUTE "Liver"  {DE,NM,SI,IN}
@ATTRIBUTE "Bone"  {DE,NM,SI,IN}
@ATTRIBUTE "Macrohepatic"  {DE,NM,SI,IN}
@ATTRIBUTE "Intestine"  {DE,NM,SI,IN}
@ATTRIBUTE "Total ALP"  {DE,NM,SI,IN}
@ATTRIBUTE "MM"  {DE,NM,SI,IN}
@ATTRIBUTE "MB"  {DE,NM,SI,IN}
@ATTRIBUTE "BB"  {DE,NM,SI,IN}
@ATTRIBUTE "Total CK"  {DE,NM,SI,IN}
@ATTRIBUTE "LD1"  {DE,NM,SI,IN}
@ATTRIBUTE "LD2"  {DE,NM,SI,IN}
@ATTRIBUTE "LD3"  {DE,NM,SI,IN}
@ATTRIBUTE "LD4"  {DE,NM,SI,IN}
@ATTRIBUTE "LD5"  {DE,NM,SI,IN}
@ATTRIBUTE "Total LDH"  {DE,NM,SI,IN}
@ATTRIBUTE "LD1/LD2"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA"  {DE,NM,SI,IN}
@ATTRIBUTE "Pre-Beta"  {DE,NM,SI,IN}
@ATTRIBUTE "Beta"  {DE,NM,SI,IN}
@ATTRIBUTE "Chylomicron"  {DE,NM,SI,IN}
@ATTRIBUTE "Cholesterol"  {DE,NM,SI,IN}
@ATTRIBUTE "Triglyceride"  {DE,NM,SI,IN}
@ATTRIBUTE "rdr_class" STRING 

@DATA
0000,00309,?,?,?,?,NM,SI,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP097
0000,00309,?,?,?,?,NM,IN,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP097
0000,00309,?,?,?,?,SI,SI,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP100
0000,00309,?,?,?,?,IN,IN,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP101
0000,00309,?,?,?,?,SI,IN,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP101
0000,00309,?,?,?,?,IN,SI,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP101
0000,00309,?,?,?,?,IN,IN,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP101
0000,00309,?,?,?,?,SI,SI,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP101
0000,00309,?,?,?,?,SI,IN,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP101
0000,00309,?,?,?,?,IN,SI,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP101
0000,00309,?,?,?,?,NM,NM,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP108
0000,00309,?,?,?,?,SI,NM,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP109
0000,00309,?,?,?,?,IN,NM,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP109
0000,00309,?,?,?,?,NM,SI,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP110
0000,00309,?,?,?,?,NM,IN,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP110
0000,00309,?,?,?,?,NM,NM,SI,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP111
0000,00309,?,?,?,?,NM,NM,IN,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP111
0000,00309,?,?,?,?,NM,NM,NM,SI,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP112
0000,00309,?,?,?,?,NM,NM,NM,IN,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP112
0000,00309,?,?,?,?,SI,SI,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP113
0000,00309,?,?,?,?,SI,IN,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP113
0000,00309,?,?,?,?,IN,SI,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP113
0000,00309,?,?,?,?,IN,IN,NM,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP113
0000,00309,?,?,?,?,SI,NM,SI,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP114
0000,00309,?,?,?,?,SI,NM,IN,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP114
0000,00309,?,?,?,?,IN,NM,SI,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP114
0000,00309,?,?,?,?,IN,NM,IN,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP114
0000,00309,?,?,?,?,SI,NM,NM,SI,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP115
0000,00309,?,?,?,?,SI,NM,NM,IN,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP115
0000,00309,?,?,?,?,IN,NM,NM,SI,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP115
0000,00309,?,?,?,?,IN,NM,NM,IN,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP115
0000,00309,?,?,?,?,NM,SI,SI,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP116
0000,00309,?,?,?,?,NM,SI,IN,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP116
0000,00309,?,?,?,?,NM,IN,SI,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP116
0000,00309,?,?,?,?,NM,IN,IN,NM,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP116
0000,00309,?,?,?,?,NM,SI,NM,SI,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP117
0000,00309,?,?,?,?,NM,SI,NM,IN,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP117
0000,00309,?,?,?,?,NM,IN,NM,SI,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP117
0000,00309,?,?,?,?,NM,IN,NM,IN,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP117
0000,00309,?,?,?,?,NM,NM,SI,SI,DE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP118
